id,agent,gaze,valence,rt,correct
670,robot,closed,negative,1169.4799999999814,1
670,human,closed,positive,583.1600000000326,1
670,human,closed,positive,761.4000000000233,1
670,human,closed,positive,779.6999999999534,1
670,human,open,negative,504.5,1
670,robot,closed,negative,971.3000000000466,1
670,human,open,negative,564.2800000000279,1
670,robot,open,negative,627.6199999999953,1
670,human,open,positive,652.640000000014,1
670,human,open,negative,561.3000000000466,1
670,robot,open,negative,559.9000000000233,1
670,human,open,positive,600.1600000000326,1
670,human,open,negative,573.5400000000373,1
670,robot,open,positive,552.4799999999814,1
670,robot,closed,positive,609.5200000000186,1
670,robot,open,negative,509.4399999999441,1
670,robot,closed,positive,1018.7800000000279,1
670,human,closed,negative,683.5999999999767,1
670,robot,open,positive,534.2600000000093,1
663,human,open,positive,669.7199999979348,1
663,robot,open,positive,597.6609999999055,1
663,human,open,positive,558.7820000011707,1
663,human,open,positive,562.2709999986691,1
663,robot,open,positive,649.6129999958794,1
663,human,open,negative,632.3649999988265,1
663,robot,closed,negative,1163.8279999994556,1
663,robot,closed,positive,641.4459999953397,1
663,robot,open,positive,883.8179999964777,1
663,robot,open,negative,677.4259999973001,1
663,robot,closed,negative,515.227999996976,1
663,robot,open,negative,623.5739999974612,1
663,human,closed,negative,520.7609999986598,1
663,robot,open,positive,866.9879999955301,0
663,robot,open,negative,630.3670000008424,1
663,human,closed,positive,749.8249999955297,1
663,human,closed,positive,872.7330000014044,1
663,human,open,negative,993.9890000014566,1
663,human,open,positive,663.3889999971143,1
663,robot,closed,positive,883.7039999999106,1
663,robot,open,negative,656.3539999987115,1
663,robot,closed,negative,859.5789999977569,1
663,human,open,positive,570.6079999958747,1
663,human,closed,negative,580.9829999963986,1
663,robot,closed,negative,1063.3359999997774,1
663,human,open,positive,617.0909999983851,1
663,robot,open,negative,665.5819999995874,1
663,robot,closed,positive,673.4700000014273,1
663,human,closed,positive,727.3839999985648,1
663,robot,open,negative,727.1709999984014,0
663,robot,closed,positive,670.7189999991679,1
663,human,open,negative,595.9379999994417,1
663,robot,open,positive,758.8049999977811,1
663,robot,closed,negative,779.500999999058,1
663,robot,closed,negative,749.3179999991553,1
663,robot,open,negative,947.8639999990701,1
663,human,open,positive,931.2880000009318,1
663,human,open,negative,697.9499999969266,1
663,robot,open,negative,1348.0859999975073,1
663,robot,closed,positive,670.1979999946197,0
663,robot,closed,negative,811.3269999977201,1
663,human,open,positive,677.3210000011022,1
663,human,closed,negative,703.659000001091,1
663,human,closed,positive,603.9829999952344,1
663,human,closed,positive,1225.2739999943296,0
663,robot,closed,positive,681.8559999982244,1
663,human,closed,positive,734.7589999950142,1
663,robot,open,positive,656.8319999964442,1
663,human,closed,negative,872.8199999950011,1
663,human,closed,positive,1395.3920000007492,1
663,human,closed,negative,984.1949999948847,1
663,human,open,negative,945.330999995349,1
663,robot,closed,positive,701.6279999955441,1
663,human,open,negative,728.68999999878,1
663,human,closed,negative,796.9959999992861,1
663,human,closed,negative,684.9740000015008,1
663,human,open,negative,815.6510000004782,1
663,human,closed,positive,753.1579999984242,1
663,robot,closed,positive,642.7749999962398,1
663,human,open,positive,604.613999999594,1
663,robot,closed,negative,727.2829999953392,1
663,robot,open,positive,629.7959999983432,1
663,human,closed,negative,656.273999998637,1
663,robot,open,positive,707.9369999998016,1
663,robot,closed,positive,718.7519999954384,0
663,human,closed,positive,769.5440000005765,1
663,robot,open,negative,854.6969999985304,1
663,robot,open,positive,875.351999997336,0
663,robot,closed,negative,846.8309999978519,0
663,human,closed,negative,677.2699999982142,1
663,human,open,negative,911.0189999956638,1
663,human,open,negative,710.0769999998738,1
663,robot,open,positive,732.7939999977243,1
663,robot,open,positive,616.128999997396,1
663,human,open,negative,561.0840000006137,1
663,robot,open,negative,646.1819999952568,1
663,robot,closed,negative,520.7999999953317,1
663,robot,open,positive,547.4219999953639,1
663,human,open,positive,524.5750000011176,1
663,robot,closed,positive,513.8339999949094,1
663,human,open,positive,520.0189999972354,1
663,robot,closed,negative,515.1229999952484,1
663,human,open,negative,605.2650000011781,1
663,robot,closed,positive,582.9409999994095,1
663,human,closed,positive,511.1559999984456,1
663,human,open,negative,552.69099999795435,1
663,human,open,positive,708.0129999983474,1
663,human,open,positive,558.8470000003581,1
663,robot,open,negative,707.5839999945601,1
663,human,closed,negative,923.6779999984428,1
663,robot,closed,positive,577.2109999981476,1
663,human,closed,negative,608.8610000014305,1
663,human,closed,negative,689.5269999965094,1
663,human,closed,positive,1020.640000000596,1
663,robot,closed,positive,699.1259999946924,1
663,robot,open,positive,638.7770000013988,1
663,human,closed,positive,637.8289999992121,1
663,robot,closed,negative,563.7849999984028,1
663,robot,closed,negative,1184.105999995023,1
663,robot,closed,positive,734.5249999992084,1
663,human,open,negative,581.5169999948703,1
663,robot,closed,negative,767.4339999973308,1
663,robot,open,negative,816.6769999999087,1
663,human,closed,negative,631.3279999998631,1
663,human,closed,negative,681.1489999960177,1
663,human,closed,negative,820.5669999991078,1
663,robot,closed,negative,606.2979999976233,1
663,robot,open,negative,620.5259999992559,1
663,human,closed,positive,942.724999999511,1
663,human,closed,positive,809.5879999996396,1
663,human,open,negative,577.8399999985704,1
663,human,closed,negative,721.3709999999264,1
663,robot,open,positive,675.115000000922,1
663,human,closed,positive,587.3229999984615,1
663,robot,open,positive,582.4500000007683,1
663,robot,closed,negative,629.5039999997243,0
663,robot,open,negative,743.1479999977164,1
663,robot,closed,positive,607.3869999947492,1
663,robot,closed,negative,698.1819999981672,1
663,human,closed,negative,568.6229999983916,1
663,robot,open,positive,678.697999998345,0
663,human,open,positive,660.1549999993294,1
663,human,closed,positive,582.9419999965467,1
663,human,closed,positive,585.6389999957755,1
663,human,open,positive,529.3959999982035,1
663,robot,open,negative,575.8560000000289,1
663,robot,open,positive,731.383999995538,1
663,robot,open,negative,536.6699999984121,1
663,robot,closed,positive,889.2019999950426,1
663,human,open,positive,738.0349999996834,1
663,human,closed,positive,632.9959999985294,1
663,robot,closed,positive,571.7849999986356,1
663,robot,open,positive,554.1539999983506,1
663,robot,open,negative,575.0990000006277,1
663,human,open,positive,597.8800000001211,1
663,human,open,positive,572.1269999947399,0
663,human,open,negative,731.0800000011222,1
663,human,open,negative,1057.2099999946076,1
663,human,closed,negative,1787.8919999975478,1
663,robot,closed,negative,840.893999994616,1
663,human,open,negative,687.1149999977788,1
663,robot,open,negative,902.0290000007953,1
663,human,open,negative,643.7240000008605,1
663,robot,closed,positive,567.7099999962375,0
663,human,open,positive,739.1689999976661,1
663,robot,open,positive,556.116999996244,1
663,human,closed,negative,697.3229999959003,1
663,robot,closed,negative,640.63300000038,1
663,robot,closed,negative,563.6509999992559,1
663,robot,open,negative,503.8899999979185,1
663,human,open,negative,494.5409999944968,1
663,robot,open,positive,566.7309999995632,1
663,robot,open,negative,680.9569999950472,1
663,human,open,negative,681.0989999963203,1
663,human,closed,negative,574.8539999973727,1
663,human,closed,negative,575.8729999955976,1
663,human,open,positive,1380.421999996528,1
663,human,open,positive,705.2299999945099,1
663,robot,open,positive,865.889999995823,1
663,human,closed,negative,914.9699999945005,1
663,human,closed,positive,845.5439999999944,1
663,human,closed,positive,670.9459999955725,1
663,human,closed,positive,1344.119000001112,0
663,human,open,positive,708.2260000008391,1
663,robot,open,negative,862.5140000011306,1
663,human,closed,negative,677.4419999943348,1
663,robot,closed,negative,555.5489999998827,1
663,human,open,negative,927.3599999953294,1
663,human,open,negative,631.0510000006761,1
663,robot,closed,negative,577.220999995363,1
663,human,open,positive,768.05199999467,0
663,robot,closed,positive,629.0830000011483,1
663,robot,open,positive,691.4709999992047,1
663,human,open,positive,583.5509999952046,1
663,robot,open,positive,626.9499999955297,1
663,human,open,positive,657.5649999966845,1
663,human,closed,negative,806.0459999995073,1
663,human,open,negative,703.7709999950603,1
663,human,closed,positive,1021.0119999967283,1
663,robot,closed,positive,585.130999995512,1
663,robot,open,negative,577.6560000000754,1
663,human,open,positive,831.0519999994431,1
663,robot,closed,negative,580.5499999979511,1
663,robot,open,negative,575.8809999970254,1
663,human,closed,negative,639.1219999968307,1
663,human,closed,positive,614.4729999958072,1
663,human,open,positive,633.4279999959981,1
663,human,closed,negative,614.7119999969145,1
663,robot,open,negative,752.1709999953164,1
663,robot,open,positive,564.4809999972349,1
663,human,closed,positive,516.588999995729,1
663,robot,closed,negative,630.6309999992372,1
663,robot,open,positive,641.6800000004005,1
663,robot,closed,negative,530.1469999948749,1
663,robot,closed,negative,597.2489999980899,1
663,human,closed,positive,643.5870000007562,1
663,robot,closed,positive,558.7020000000484,1
663,human,closed,negative,543.0199999986216,1
663,robot,closed,positive,628.1210000013234,1
663,human,closed,positive,576.7340000005206,1
663,robot,closed,positive,765.6280000009574,1
663,robot,closed,negative,572.0009999952745,1
663,human,open,negative,659.9369999952614,1
663,human,open,negative,867.4589999971213,1
663,robot,open,negative,618.6969999982975,1
663,human,closed,positive,638.1589999999851,1
663,robot,open,positive,574.74499999627,1
663,human,open,negative,798.7129999995232,1
663,robot,open,positive,532.4359999984736,1
663,robot,open,negative,563.7239999992307,1
663,robot,closed,positive,858.3439999956172,1
663,robot,closed,positive,616.1500000015367,1
663,robot,open,negative,618.9759999969974,1
663,human,open,negative,885.5309999954188,1
663,robot,closed,positive,717.2849999971222,1
663,robot,closed,positive,645.7109999947716,0
663,human,closed,positive,639.3179999950808,1
663,robot,closed,negative,592.9599999985658,1
663,robot,closed,negative,573.0349999949103,1
663,robot,open,negative,639.0100000002421,1
663,human,closed,positive,645.0649999980815,1
663,robot,closed,negative,558.3249999966938,1
663,robot,open,negative,666.7929999988992,1
663,robot,closed,positive,656.7399999992922,1
663,human,open,negative,646.0439999974333,1
663,human,closed,negative,704.4779999956954,1
663,robot,closed,positive,607.1330000014277,1
663,robot,open,positive,578.049000001396,1
663,human,open,positive,562.0939999951515,1
663,robot,closed,positive,586.6350000011735,1
663,human,closed,positive,526.2239999988815,1
663,human,open,negative,643.8959999962244,1
663,robot,closed,negative,722.4820000013569,1
663,robot,open,negative,608.2629999980563,1
663,robot,closed,positive,577.6419999970822,1
663,human,closed,negative,535.039999998291,1
663,robot,open,negative,638.1179999965243,1
663,human,open,positive,573.406000001356,1
663,robot,open,negative,637.9999999967404,1
663,human,open,positive,580.4769999959972,1
663,robot,open,positive,607.171999995131,1
663,human,closed,positive,527.1509999975096,1
663,robot,open,negative,534.4490000007208,1
663,robot,open,positive,632.9659999993164,1
663,robot,closed,positive,737.5929999991786,1
663,human,closed,positive,558.1789999959292,1
663,human,closed,negative,644.6939999969909,1
663,human,closed,positive,488.1790000015171,1
663,human,open,positive,565.1910000002244,1
663,robot,closed,positive,534.4349999957485,1
663,human,open,positive,553.8389999945648,1
663,human,open,negative,594.535999998101,1
663,robot,closed,positive,496.0209999968065,1
663,robot,open,positive,556.673000001465,1
663,human,closed,positive,532.3790000008885,1
663,human,closed,negative,595.5749999972759,1
663,human,open,negative,714.1230000011856,1
663,human,open,positive,552.2180000005756,1
663,human,open,negative,664.2989999990677,1
663,robot,closed,negative,668.8849999951199,1
663,human,closed,negative,626.5980000004638,1
663,human,open,negative,611.8339999980526,1
663,human,closed,positive,708.2579999979353,1
663,human,closed,negative,631.1939999957103,1
663,human,open,negative,804.1689999946393,1
663,human,open,negative,651.1919999963138,1
663,robot,open,positive,690.6399999982677,1
663,robot,open,negative,568.2059999955818,1
663,robot,closed,positive,556.6109999968903,1
663,human,closed,negative,677.0819999987725,1
663,robot,open,positive,546.1899999957532,0
663,robot,open,positive,806.0489999982528,1
663,robot,closed,negative,642.4309999983525,1
663,human,open,negative,700.2519999961369,1
663,robot,closed,negative,815.814000000013,1
663,robot,open,negative,621.8589999962132,1
663,robot,open,negative,544.2530000006082,1
663,human,closed,negative,767.9580000003334,1
663,robot,open,positive,527.8050000015646,1
663,human,closed,positive,1000.5100000011735,1
663,robot,closed,negative,765.3619999954244,1
663,human,closed,negative,668.9039999970701,1
663,robot,open,positive,602.5909999959404,0
663,human,open,positive,643.1189999973867,1
663,robot,closed,positive,622.0050000014016,1
663,human,open,positive,853.6389999974053,1
663,robot,closed,negative,615.826000000583,1
663,human,open,positive,990.849999997532,1
656,human,closed,positive,1351.1649999969231,0
656,human,closed,negative,1336.194999995234,1
656,robot,closed,negative,1241.643999998516,1
656,robot,open,positive,1087.1820000018633,1
656,human,closed,negative,1215.9750000002387,1
656,robot,open,positive,1350.2319999958854,1
656,human,open,positive,1351.3170000015525,1
656,human,open,positive,1002.8099999976694,1
656,human,closed,positive,1433.7289999977802,1
656,robot,open,negative,1351.2189999988186,1
656,human,closed,negative,1312.242000001599,1
656,robot,closed,negative,1634.3709999994608,1
656,human,closed,positive,1588.0929999984219,1
656,human,closed,positive,1731.4219999995548,1
656,robot,open,positive,1009.8309999962803,1
656,human,closed,positive,816.6599999988684,1
656,robot,open,positive,1062.9930000008317,1
656,robot,closed,positive,1379.799999995972,1
656,robot,closed,negative,1320.4899999990594,1
656,robot,open,positive,1153.4199999980628,1
656,human,open,negative,1582.14799999987,1
656,robot,open,negative,1686.1630000015139,1
656,human,open,negative,1485.6430000015534,1
656,robot,open,positive,1177.2959999952,1
656,robot,closed,negative,1165.6839999976219,1
656,robot,closed,positive,1085.8379999967874,1
656,robot,open,positive,1169.491999999329,0
656,robot,closed,positive,1153.6409999953466,1
656,human,open,negative,1182.0100000021048,1
656,human,closed,positive,1293.6649999993388,1
656,human,closed,negative,1516.0159999960451,1
656,robot,open,negative,1234.4250000022002,1
656,robot,closed,positive,1822.312999998685,1
656,human,closed,positive,1052.4809999961872,1
656,robot,closed,negative,917.5260000019916,1
656,robot,closed,negative,1015.7400000022608,1
656,robot,closed,positive,902.0250000012456,1
656,robot,open,positive,1089.0380000019795,1
656,human,closed,positive,951.3040000004112,1
656,human,open,negative,880.3250000002445,1
656,robot,closed,positive,1004.5459999956074,1
656,robot,closed,negative,883.5699999988428,1
656,human,open,positive,939.1940000000177,1
656,human,closed,positive,836.9039999968372,1
656,human,closed,negative,954.4680000003427,1
656,human,open,positive,755.4939999976195,1
656,human,open,negative,872.7400000019115,1
656,human,closed,negative,1077.1109999988694,1
656,robot,open,negative,1201.368999998842,1
656,human,closed,negative,864.3599999970756,1
656,human,open,positive,873.3129999985686,1
656,robot,open,negative,1189.7239999955054,1
656,robot,open,negative,1165.3540000002831,1
656,human,open,negative,1217.2380000011763,1
656,human,closed,negative,1239.5100000008824,1
656,robot,closed,positive,1349.113000000012,1
656,robot,closed,negative,1221.9479999967734,1
656,robot,open,negative,1207.1209999982966,1
656,human,open,negative,1069.9719999971567,1
656,human,open,positive,1166.8149999955785,1
656,robot,open,negative,983.6819999996806,1
656,human,open,positive,875.268999997701,1
656,robot,open,positive,871.4899999960908,1
656,human,open,positive,971.8509999976377,1
656,robot,closed,positive,955.913000001281,1
656,robot,open,negative,905.3819999988773,1
656,robot,closed,negative,1356.4049999985727,1
656,human,open,negative,1101.3449999975855,1
656,human,closed,negative,1152.5539999969187,1
656,robot,open,positive,801.5719999962021,1
656,robot,open,negative,928.5140000010724,1
656,robot,open,positive,786.7479999955976,1
656,robot,open,negative,1230.0179999974207,1
656,robot,closed,positive,1861.955000000773,1
656,human,closed,negative,1010.5799999991432,1
656,human,open,negative,1517.6119999999064,1
656,robot,open,negative,1095.8070000021253,1
656,robot,open,negative,1011.2510000012117,1
656,human,closed,negative,842.369999997667,1
656,human,closed,negative,699.8690000018105,1
656,human,open,negative,774.6799999993527,1
656,human,open,positive,815.0399999995716,1
