id,event,time_end,text
670,ISI,233793.26,NA
670,Trial,233793.26,NA
670,Fixation,234294.28,NA
670,Prime,234510.94,NA
670,Blank,234610.94,NA
670,Word,235292,NA
670,ISI,236310.3,NA
670,Trial,236310.3,NA
670,Fixation,236818.34,NA
670,Prime,237018.24,NA
670,Blank,237134.92,NA
670,Word,239651.56,NA
670,ISI,240651.5,NA
670,Trial,240651.5,NA
670,Fixation,241168.34,NA
670,Prime,241368.2,NA
670,Blank,241455.88,NA
670,Word,242364,NA
670,ISI,243392.64,NA
670,Trial,243392.64,NA
670,Fixation,243892.62,NA
670,Prime,244108.76,NA
670,Blank,244209.32,NA
670,Word,244834,NA
670,ISI,245859.2,NA
670,Trial,245859.2,NA
670,Fixation,246358.4,NA
670,Prime,246552.42,NA
670,Blank,246652.08,NA
670,Word,247243,NA
670,ISI,248267.28,NA
670,Trial,248267.28,NA
670,Fixation,248767.34,NA
670,Prime,248967.36,NA
670,Blank,249067.26,NA
670,Word,249697,NA
670,ISI,250717.32,NA
670,Trial,250717.32,NA
670,Fixation,251217.22,NA
670,Prime,251417.26,NA
670,Blank,251504.32,NA
670,Word,252449,NA
670,ISI,253472.92,NA
670,Trial,253472.92,NA
670,Fixation,253973.86,NA
670,Prime,254173.96,NA
670,Blank,254272.96,NA
670,Word,254864,NA
670,ISI,255890.62,NA
670,Trial,255890.62,NA
670,Fixation,256390.58,NA
670,Prime,256607.22,NA
670,Blank,256702.78,NA
670,Word,257377,NA
670,ISI,258398.74,NA
670,Trial,258398.74,NA
670,Fixation,258898.22,NA
670,Prime,259098.84,NA
670,Blank,259198.86,NA
670,Word,260379,NA
670,ISI,261397.86,NA
670,Trial,261397.86,NA
670,Fixation,261915.38,NA
670,Prime,262107.82,NA
670,Blank,262208.1,NA
670,Word,262898,NA
670,ISI,263923.38,NA
670,Trial,263923.38,NA
670,Fixation,264423.5,NA
670,Prime,264640.14,NA
670,Blank,264740.1,NA
670,Word,265403,NA
670,ISI,266423.4,NA
670,Trial,266423.4,NA
670,Fixation,266923.08,NA
670,Prime,267132.16,NA
670,Blank,267248.3,NA
670,Word,268018,NA
670,ISI,269046.3,NA
670,Trial,269046.3,NA
670,Fixation,269546.6,NA
670,Prime,269746.8,NA
670,Blank,269846.22,NA
670,Word,270807,NA
670,ISI,271829.48,NA
670,Trial,271829.48,NA
670,Fixation,272330.58,NA
670,Prime,272538.1,NA
670,Blank,272638.32,NA
670,Word,273250,NA
670,ISI,274272.32,NA
670,Trial,274272.32,NA
670,Fixation,274772.32,NA
670,Prime,274972.3,NA
670,Blank,275088.94,NA
670,Word,275905,NA
670,ISI,276938.94,NA
670,Trial,276938.94,NA
670,Fixation,277455.56,NA
670,Prime,277647.12,NA
670,Blank,277746.8,NA
670,Word,278422,NA
670,ISI,279445.56,NA
670,Trial,279445.56,NA
670,Experiment Block 1,279445.56,NA
670,Frame 1,279449,NA
670,Break_1,298204,NA
670,Sequence1,298204,NA
670,Fixation,298737.38,NA
670,Prime,298954.04,NA
670,Blank,299053.96,NA
670,Word,299861,NA
670,ISI,300887.3,NA
670,Trial,300887.3,NA
670,Fixation,301386.84,NA
670,Prime,301587.16,NA
670,Blank,301687.28,NA
670,Word,302320,NA
670,ISI,303353.96,NA
670,Trial,303353.96,NA
670,Fixation,303860.82,NA
670,Prime,304060.88,NA
670,Blank,304159.9,NA
670,Word,304720,NA
670,ISI,305744.18,NA
670,Trial,305744.18,NA
670,Fixation,306244.16,NA
670,Prime,306460.88,NA
670,Blank,306559.92,NA
670,Word,307108,NA
670,ISI,308127.5,NA
670,Trial,308127.5,NA
670,Fixation,308627.48,NA
670,Prime,308820.38,NA
670,Blank,308936.6,NA
670,Word,309540,NA
670,ISI,310568.62,NA
670,Trial,310568.62,NA
670,Fixation,311068.7,NA
670,Prime,311268.58,NA
670,Blank,311368.64,NA
670,Word,311928,NA
670,ISI,312951.92,NA
670,Trial,312951.92,NA
670,Fixation,313450.94,NA
670,Prime,313668.56,NA
670,Blank,313755.76,NA
670,Word,314296,NA
670,ISI,315325.36,NA
670,Trial,315325.36,NA
670,Fixation,315825.38,NA
670,Prime,316025.3,NA
670,Blank,316141.98,NA
670,Word,316707,NA
670,ISI,317725.4,NA
670,Trial,317725.4,NA
670,Fixation,318241.96,NA
670,Prime,318442,NA
670,Blank,318541.94,NA
670,Word,319246,NA
670,ISI,320282.62,NA
670,Trial,320282.62,NA
670,Fixation,320782.58,NA
670,Prime,320999.3,NA
670,Blank,321098.36,NA
670,Word,321839,NA
670,ISI,322865.94,NA
670,Trial,322865.94,NA
670,Fixation,323365.88,NA
670,Prime,323565.88,NA
670,Blank,323682.54,NA
670,Word,324251,NA
670,ISI,325289.62,NA
670,Trial,325289.62,NA
670,Fixation,325806.3,NA
670,Prime,326005.42,NA
670,Blank,326106,NA
670,Word,327173,NA
670,ISI,328206.24,NA
670,Trial,328206.24,NA
670,Fixation,328706.24,NA
670,Prime,328922.9,NA
670,Blank,329022.96,NA
670,Word,329611,NA
670,ISI,330629.88,NA
670,Trial,330629.88,NA
670,Fixation,331129.84,NA
670,Prime,331329.84,NA
670,Blank,331429.88,NA
670,Word,332412,NA
670,ISI,333428.88,NA
670,Trial,333428.88,NA
670,Fixation,333929.78,NA
670,Prime,334129.82,NA
670,Blank,334228.84,NA
670,Word,335040,NA
670,ISI,336070.56,NA
670,Trial,336070.56,NA
670,Fixation,336570.46,NA
670,Prime,336787.2,NA
670,Blank,336887.1,NA
670,Word,337573,NA
670,ISI,338603.34,NA
670,Trial,338603.34,NA
670,Fixation,339103.44,NA
670,Prime,339303.84,NA
670,Blank,339420.5,NA
670,Word,340121,NA
670,ISI,341160.66,NA
670,Trial,341160.66,NA
670,Fixation,341660.66,NA
670,Prime,341860.6,NA
670,Blank,341960.6,NA
670,Word,342681,NA
670,ISI,343710.62,NA
670,Trial,343710.62,NA
670,Fixation,344210.62,NA
670,Prime,344427.14,NA
670,Blank,344527.24,NA
670,Word,345128,NA
670,ISI,346165.86,NA
670,Trial,346165.86,NA
670,Fixation,346666.02,NA
670,Prime,346866.54,NA
670,Blank,346983.24,NA
670,Word,347497,NA
670,ISI,348516.5,NA
670,Trial,348516.5,NA
670,Fixation,349016.48,NA
670,Prime,349215.5,NA
670,Blank,349316.5,NA
670,Word,350064,NA
670,ISI,351082.1,NA
670,Trial,351082.1,NA
670,Fixation,351573.8,NA
670,Prime,351790.76,NA
670,Blank,351889.78,NA
670,Word,352549,NA
670,ISI,353573.4,NA
670,Trial,353573.4,NA
670,Fixation,354074.02,NA
670,Prime,354274.06,NA
670,Blank,354374.04,NA
670,Word,355057,NA
670,ISI,356090.74,NA
670,Trial,356090.74,NA
670,Fixation,356596.52,NA
670,Prime,356797.44,NA
670,Blank,356896.46,NA
670,Word,357645,NA
670,ISI,358664.06,NA
670,Trial,358664.06,NA
670,Fixation,359164.08,NA
670,Prime,359380.42,NA
670,Blank,359480.68,NA
670,Word,360112,NA
670,ISI,361129.78,NA
670,Trial,361129.78,NA
670,Fixation,361639.04,NA
670,Prime,361838.44,NA
670,Blank,361938.12,NA
670,Word,362474,NA
670,ISI,363505.68,NA
670,Trial,363505.68,NA
670,Fixation,364005.66,NA
670,Prime,364205.62,NA
670,Blank,364305.64,NA
670,Word,364935,NA
670,ISI,365955.46,NA
670,Trial,365955.46,NA
670,Fixation,366455.56,NA
670,Prime,366663.98,NA
670,Blank,366762.72,NA
670,Word,367390,NA
670,ISI,368412.56,NA
670,Trial,368412.56,NA
670,Fixation,368912.58,NA
670,Prime,369112.5,NA
670,Blank,369212.56,NA
670,Word,369933,NA
670,ISI,370962.52,NA
670,Trial,370962.52,NA
670,Fixation,371479.18,NA
670,Prime,371671.54,NA
670,Blank,371771.18,NA
670,Word,372436,NA
670,ISI,373469.94,NA
670,Trial,373469.94,NA
670,Fixation,373969.9,NA
670,Prime,374185.72,NA
670,Blank,374286.58,NA
670,Word,374879,NA
670,ISI,375902.84,NA
670,Trial,375902.84,NA
670,Fixation,376403.3,NA
670,Prime,376603.24,NA
670,Blank,376708.8,NA
670,Word,377399,NA
670,ISI,378425.66,NA
670,Trial,378425.66,NA
